Year,State,County,Value
2019,INDIANA,CLARK,132.5
2019,INDIANA,DEARBORN,129.4
2019,INDIANA,FRANKLIN,152.4
2019,INDIANA,JEFFERSON,123.6
2019,INDIANA,JENNINGS,135.4
2019,INDIANA,OHIO,136.2
2019,INDIANA,OTHER (COMBINED) COUNTIES,121
2019,INDIANA,SWITZERLAND,123.5
2019,INDIANA,DAVIESS,168.4
2019,INDIANA,DUBOIS,163.6
2019,INDIANA,GIBSON,179
2019,INDIANA,GREENE,133.8
2019,INDIANA,OTHER (COMBINED) COUNTIES,166.6
2019,INDIANA,POSEY,176.6
2019,INDIANA,SPENCER,158.3
2019,INDIANA,SULLIVAN,164.8
2019,INDIANA,VANDERBURGH,167.7
2019,INDIANA,WARRICK,156.5
2019,INDIANA,MONTGOMERY,189.9
2019,INDIANA,OTHER (COMBINED) COUNTIES,163.7
2019,INDIANA,PARKE,178.8
2019,INDIANA,PUTNAM,179.1
2019,INDIANA,TIPPECANOE,180.2
2019,INDIANA,VERMILLION,167.2
2019,INDIANA,VIGO,171.8
2019,INDIANA,WARREN,192.4
2018,INDIANA,BARTHOLOMEW,189.3
2018,INDIANA,BOONE,198.9
2018,INDIANA,CLINTON,213.9
2018,INDIANA,DECATUR,206.8
2018,INDIANA,GRANT,204.4
2018,INDIANA,HAMILTON,174.5
2018,INDIANA,HANCOCK,187.5
2018,INDIANA,HENDRICKS,206.9
2018,INDIANA,HOWARD,215.7
2018,INDIANA,MADISON,205.1
2018,INDIANA,MORGAN,197
2018,INDIANA,OTHER (COMBINED) COUNTIES,193.4
2018,INDIANA,RUSH,203.9
2018,INDIANA,SHELBY,194.3
2018,INDIANA,TIPTON,215.5
2018,INDIANA,BLACKFORD,201
2018,INDIANA,DELAWARE,208.1
2018,INDIANA,FAYETTE,198.6
2018,INDIANA,HENRY,198.5
2018,INDIANA,JAY,188.6
2018,INDIANA,RANDOLPH,184.8
2018,INDIANA,UNION,203.9
2018,INDIANA,WAYNE,191.7
2018,INDIANA,CARROLL,204.7
2018,INDIANA,CASS,195.5
2018,INDIANA,ELKHART,172.5
2018,INDIANA,FULTON,187.2
2018,INDIANA,KOSCIUSKO,179.8
2018,INDIANA,MARSHALL,175.6
2018,INDIANA,MIAMI,191.4
2018,INDIANA,ST. JOSEPH,164.2
2018,INDIANA,WABASH,201.4
2018,INDIANA,ADAMS,194.5
2018,INDIANA,ALLEN,181.7
2018,INDIANA,DE KALB,159.5
2018,INDIANA,HUNTINGTON,183
2018,INDIANA,LAGRANGE,142.1
2018,INDIANA,NOBLE,170.7
2018,INDIANA,STEUBEN,150
2018,INDIANA,WELLS,204.1
2018,INDIANA,WHITLEY,180.7
2018,INDIANA,BENTON,201.7
2018,INDIANA,JASPER,164.5
2018,INDIANA,LA PORTE,159
2018,INDIANA,NEWTON,198.9
2018,INDIANA,OTHER (COMBINED) COUNTIES,165.3
2018,INDIANA,PORTER,182.1
2018,INDIANA,PULASKI,169.1
2018,INDIANA,WHITE,196.9
2018,INDIANA,HARRISON,189.2
2018,INDIANA,JACKSON,173.2
2018,INDIANA,LAWRENCE,192.1
2018,INDIANA,MONROE,181.8
2018,INDIANA,ORANGE,206.7
2018,INDIANA,OTHER (COMBINED) COUNTIES,170.3
2018,INDIANA,WASHINGTON,184.1
2018,INDIANA,CLARK,178.7
2018,INDIANA,DEARBORN,176.7
2018,INDIANA,FRANKLIN,185.7
2018,INDIANA,JEFFERSON,185
2018,INDIANA,JENNINGS,181.6
2018,INDIANA,OHIO,180
2018,INDIANA,RIPLEY,182.9
2018,INDIANA,SCOTT,180.2
2018,INDIANA,SWITZERLAND,178
2018,INDIANA,DAVIESS,196.2
2018,INDIANA,DUBOIS,187.1
2018,INDIANA,GIBSON,184
2018,INDIANA,GREENE,179.1
2018,INDIANA,KNOX,179.4
2018,INDIANA,MARTIN,182.9
2018,INDIANA,OTHER (COMBINED) COUNTIES,177.7
2018,INDIANA,POSEY,182.1
2018,INDIANA,SULLIVAN,187.3
2018,INDIANA,VANDERBURGH,179.6
2018,INDIANA,WARRICK,161.2
2018,INDIANA,CLAY,181.5
2018,INDIANA,OTHER (COMBINED) COUNTIES,204.1
2018,INDIANA,OWEN,172.7
2018,INDIANA,PARKE,192.7
2018,INDIANA,PUTNAM,196.8
2018,INDIANA,TIPPECANOE,201.1
2018,INDIANA,VERMILLION,197.5
2018,INDIANA,VIGO,176.4
2018,INDIANA,WARREN,206.4
2017,INDIANA,BOONE,184.4
2017,INDIANA,CLINTON,185.1
2017,INDIANA,DECATUR,190.2
2017,INDIANA,GRANT,169.6
2017,INDIANA,HAMILTON,155.7
2017,INDIANA,HANCOCK,158.1
2017,INDIANA,HENDRICKS,183.3
2017,INDIANA,HOWARD,185.1
2017,INDIANA,JOHNSON,175.4
2017,INDIANA,MADISON,165.4
2017,INDIANA,MORGAN,168.8
2017,INDIANA,OTHER (COMBINED) COUNTIES,167.2
2017,INDIANA,RUSH,185.4
2017,INDIANA,SHELBY,178.7
2017,INDIANA,TIPTON,172.7
2017,INDIANA,BLACKFORD,179.2
2017,INDIANA,DELAWARE,155
2017,INDIANA,FAYETTE,173
2017,INDIANA,HENRY,172.7
2017,INDIANA,JAY,159.3
2017,INDIANA,RANDOLPH,169.6
2017,INDIANA,UNION,181
2017,INDIANA,WAYNE,171.9
2017,INDIANA,CARROLL,181.5
2017,INDIANA,CASS,181.1
2017,INDIANA,ELKHART,173.8
2017,INDIANA,FULTON,200
2017,INDIANA,KOSCIUSKO,171.3
2017,INDIANA,MARSHALL,189.2
2017,INDIANA,MIAMI,171.1
2017,INDIANA,ST. JOSEPH,178
2017,INDIANA,WABASH,174.3
2017,INDIANA,ADAMS,169.8
2017,INDIANA,ALLEN,167.6
2017,INDIANA,DE KALB,170
2017,INDIANA,HUNTINGTON,167.2
2017,INDIANA,LAGRANGE,142.1
2017,INDIANA,NOBLE,175.5
2017,INDIANA,STEUBEN,160
2017,INDIANA,WELLS,185.1
2017,INDIANA,WHITLEY,175
2017,INDIANA,BENTON,199.2
2017,INDIANA,JASPER,183
2017,INDIANA,LA PORTE,154.5
2017,INDIANA,LAKE,196.9
2017,INDIANA,NEWTON,203.9
2017,INDIANA,PORTER,186.2
2017,INDIANA,PULASKI,186.2
2017,INDIANA,STARKE,171.8
2017,INDIANA,WHITE,185.4
2017,INDIANA,HARRISON,162.5
2017,INDIANA,JACKSON,166.7
2017,INDIANA,LAWRENCE,175.6
2017,INDIANA,MONROE,156.4
2017,INDIANA,ORANGE,198.2
2017,INDIANA,OTHER (COMBINED) COUNTIES,167.7
2017,INDIANA,PERRY,179.6
2017,INDIANA,WASHINGTON,172.6
2017,INDIANA,CLARK,158.8
2017,INDIANA,DEARBORN,168.3
2017,INDIANA,FRANKLIN,177.7
2017,INDIANA,JEFFERSON,167.8
2017,INDIANA,JENNINGS,171.4
2017,INDIANA,OHIO,170.8
2017,INDIANA,RIPLEY,185.9
2017,INDIANA,SCOTT,166.9
2017,INDIANA,SWITZERLAND,170.9
2017,INDIANA,DAVIESS,194
2017,INDIANA,DUBOIS,198.1
2017,INDIANA,GIBSON,194.6
2017,INDIANA,GREENE,161.1
2017,INDIANA,KNOX,184.7
2017,INDIANA,OTHER (COMBINED) COUNTIES,186.2
2017,INDIANA,POSEY,190.1
2017,INDIANA,SPENCER,196.3
2017,INDIANA,SULLIVAN,179.9
2017,INDIANA,VANDERBURGH,194
2017,INDIANA,WARRICK,182.4
2017,INDIANA,CLAY,189.6
2017,INDIANA,FOUNTAIN,183.7
2017,INDIANA,MONTGOMERY,200
2017,INDIANA,OWEN,156.1
2017,INDIANA,PARKE,178.6
2017,INDIANA,PUTNAM,180
2017,INDIANA,TIPPECANOE,180.3
2017,INDIANA,VERMILLION,188
2017,INDIANA,VIGO,186.7
2017,INDIANA,WARREN,206
2016,INDIANA,BARTHOLOMEW,171.2
2016,INDIANA,BOONE,180.1
2016,INDIANA,CLINTON,190.6
2016,INDIANA,DECATUR,178.9
2016,INDIANA,HAMILTON,179.5
2016,INDIANA,HANCOCK,172.4
2016,INDIANA,HENDRICKS,178.8
2016,INDIANA,HOWARD,192.7
2016,INDIANA,JOHNSON,160.9
2016,INDIANA,MADISON,181.1
2016,INDIANA,MORGAN,166
2016,INDIANA,OTHER (COMBINED) COUNTIES,178.7
2016,INDIANA,RUSH,188.8
2016,INDIANA,SHELBY,165
2016,INDIANA,TIPTON,198.5
2016,INDIANA,BLACKFORD,173.9
2016,INDIANA,DELAWARE,165
2016,INDIANA,FAYETTE,173.2
2016,INDIANA,HENRY,177.6
2016,INDIANA,JAY,167.3
2016,INDIANA,RANDOLPH,165.8
2016,INDIANA,UNION,177.1
2016,INDIANA,WAYNE,167.2
2016,INDIANA,CARROLL,197.8
2016,INDIANA,CASS,189.6
2016,INDIANA,ELKHART,158.7
2016,INDIANA,FULTON,176.7
2016,INDIANA,KOSCIUSKO,164.8
2016,INDIANA,MARSHALL,169
2016,INDIANA,MIAMI,167.2
2016,INDIANA,ST. JOSEPH,149.2
2016,INDIANA,WABASH,177.3
2016,INDIANA,ADAMS,159.5
2016,INDIANA,ALLEN,157.9
2016,INDIANA,DE KALB,146.4
2016,INDIANA,LAGRANGE,134.1
2016,INDIANA,NOBLE,157.1
2016,INDIANA,OTHER (COMBINED) COUNTIES,177.3
2016,INDIANA,STEUBEN,147.6
2016,INDIANA,WHITLEY,161.2
2016,INDIANA,BENTON,199.2
2016,INDIANA,JASPER,180.1
2016,INDIANA,LA PORTE,147.9
2016,INDIANA,LAKE,177.4
2016,INDIANA,NEWTON,204.7
2016,INDIANA,PORTER,173.3
2016,INDIANA,PULASKI,158.8
2016,INDIANA,STARKE,142.7
2016,INDIANA,WHITE,189.2
2016,INDIANA,FLOYD,128.6
2016,INDIANA,HARRISON,149.8
2016,INDIANA,JACKSON,161.1
2016,INDIANA,LAWRENCE,144.6
2016,INDIANA,MONROE,160.7
2016,INDIANA,ORANGE,162.3
2016,INDIANA,OTHER (COMBINED) COUNTIES,126.3
2016,INDIANA,WASHINGTON,147.8
2016,INDIANA,CLARK,140.5
2016,INDIANA,DEARBORN,162.1
2016,INDIANA,FRANKLIN,175.3
2016,INDIANA,JEFFERSON,148.8
2016,INDIANA,JENNINGS,156.6
2016,INDIANA,OHIO,150
2016,INDIANA,RIPLEY,157.9
2016,INDIANA,SCOTT,142.2
2016,INDIANA,SWITZERLAND,158.2
2016,INDIANA,DAVIESS,171.9
2016,INDIANA,DUBOIS,143.3
2016,INDIANA,GIBSON,161.7
2016,INDIANA,GREENE,156
2016,INDIANA,KNOX,169.7
2016,INDIANA,MARTIN,160.7
2016,INDIANA,PIKE,146.5
2016,INDIANA,POSEY,144
2016,INDIANA,SPENCER,149.1
2016,INDIANA,SULLIVAN,164.1
2016,INDIANA,VANDERBURGH,154
2016,INDIANA,WARRICK,134.6
2016,INDIANA,FOUNTAIN,191.8
2016,INDIANA,MONTGOMERY,200
2016,INDIANA,OTHER (COMBINED) COUNTIES,182.7
